Id,Id2,Geography,male_tot,female_tot,tsr,pop_1864,male_1864,female_1864,asr_1864,male_1824,female_1824,male_2544,female_2544
0500000US18175,18175,"Washington County, Indiana",14113,14149,99.7,17309,8669,8640,100.3,1142,1114,3537,3495
0500000US18177,18177,"Wayne County, Indiana",33463,35454,94.4,41705,20535,21170,97,3200,3231,8141,8250
0500000US18179,18179,"Wells County, Indiana",13602,14034,96.9,16397,8207,8190,100.2,1117,1073,3189,3161
0500000US18181,18181,"White County, Indiana",12120,12523,96.8,14453,7240,7213,100.4,883,840,2820,2740
0500000US18183,18183,"Whitley County, Indiana",16553,16739,98.9,20460,10365,10095,102.7,1348,1225,4059,3944
0500000US19001,19001,"Adair County, Iowa",3807,3875,98.2,4313,2225,2088,106.6,281,189,791,818
0500000US19003,19003,"Adams County, Iowa",1994,2035,98,2320,1176,1144,102.8,138,135,412,382
0500000US19005,19005,"Allamakee County, Iowa",7310,7020,104.1,8217,4285,3932,109,572,458,1574,1419
0500000US19007,19007,"Appanoose County, Iowa",6271,6616,94.8,7401,3678,3723,98.8,474,483,1355,1359
0500000US19009,19009,"Audubon County, Iowa",2957,3162,93.5,3361,1705,1656,103,168,177,608,591
0500000US19011,19011,"Benton County, Iowa",13027,13049,99.8,15415,7835,7580,103.4,887,794,3103,3186
0500000US19013,19013,"Black Hawk County, Iowa",63708,67382,94.5,84463,41541,42922,96.8,9664,10764,16043,15424
0500000US19015,19015,"Boone County, Iowa",13202,13104,100.7,15833,8019,7814,102.6,1020,981,3172,3027
0500000US19017,19017,"Bremer County, Iowa",11869,12407,95.7,14571,7272,7299,99.6,1489,1515,2660,2611
0500000US19019,19019,"Buchanan County, Iowa",10401,10557,98.5,12077,6074,6003,101.2,779,743,2420,2390
0500000US19021,19021,"Buena Vista County, Iowa",10142,10118,100.2,12149,6280,5869,107,1244,1123,2302,2142
0500000US19023,19023,"Butler County, Iowa",7337,7530,97.4,8420,4276,4144,103.2,436,435,1674,1616
0500000US19025,19025,"Calhoun County, Iowa",4697,4973,94.5,5326,2657,2669,99.6,291,316,914,933
0500000US19027,19027,"Carroll County, Iowa",10141,10675,95,11766,5952,5814,102.4,690,663,2325,2269
0500000US19029,19029,"Cass County, Iowa",6819,7137,95.5,7844,3918,3926,99.8,454,444,1449,1421
0500000US19031,19031,"Cedar County, Iowa",9151,9348,97.9,10869,5524,5345,103.3,615,521,2126,2112
0500000US19033,19033,"Cerro Gordo County, Iowa",21542,22609,95.3,26741,13373,13368,100,1936,1785,4948,4804
0500000US19035,19035,"Cherokee County, Iowa",5954,6118,97.3,6913,3600,3313,108.7,407,369,1228,1157
0500000US19037,19037,"Chickasaw County, Iowa",6255,6184,101.1,7028,3653,3375,108.2,429,365,1350,1235
0500000US19039,19039,"Clarke County, Iowa",4626,4660,99.3,5391,2753,2638,104.4,384,342,1064,1036
0500000US19041,19041,"Clay County, Iowa",8171,8496,96.2,9771,4950,4821,102.7,621,556,1954,1849
0500000US19043,19043,"Clayton County, Iowa",9079,9050,100.3,10421,5350,5071,105.5,595,567,1897,1791
0500000US19045,19045,"Clinton County, Iowa",24165,24951,96.8,29259,14658,14601,100.4,2030,1965,5607,5572
0500000US19047,19047,"Crawford County, Iowa",8685,8411,103.3,9787,5134,4653,110.3,849,659,1963,1809
0500000US19049,19049,"Dallas County, Iowa",32349,33786,95.7,40438,19818,20620,96.1,1976,2076,10218,10655
0500000US19051,19051,"Davis County, Iowa",4340,4413,98.3,4710,2399,2311,103.8,339,311,892,899
0500000US19053,19053,"Decatur County, Iowa",4238,4219,100.5,5006,2551,2455,103.9,679,590,812,805
0500000US19055,19055,"Delaware County, Iowa",8875,8889,99.8,10337,5285,5052,104.6,584,545,2007,1926
0500000US19057,19057,"Des Moines County, Iowa",19600,20725,94.6,23886,11868,12018,98.8,1505,1503,4720,4725
0500000US19059,19059,"Dickinson County, Iowa",8260,8407,98.3,9728,4936,4792,103,478,443,1846,1666
0500000US19061,19061,"Dubuque County, Iowa",46132,47521,97.1,57046,28772,28274,101.8,5047,4849,11205,10825
0500000US19063,19063,"Emmet County, Iowa",5143,5159,99.7,5993,3162,2831,111.7,607,414,1140,1031
0500000US19065,19065,"Fayette County, Iowa",10432,10448,99.8,12134,6265,5869,106.7,1054,917,2192,2070
0500000US19067,19067,"Floyd County, Iowa",7989,8314,96.1,9149,4581,4568,100.3,598,556,1714,1733
0500000US19069,19069,"Franklin County, Iowa",5380,5300,101.5,6096,3171,2925,108.4,409,317,1225,1134
0500000US19071,19071,"Fremont County, Iowa",3695,3746,98.6,4286,2186,2100,104.1,265,216,777,751
0500000US19073,19073,"Greene County, Iowa",4613,4723,97.7,5229,2671,2558,104.4,315,261,954,901
0500000US19075,19075,"Grundy County, Iowa",6156,6297,97.8,7146,3617,3529,102.5,424,382,1395,1359
0500000US19077,19077,"Guthrie County, Iowa",5443,5511,98.8,6155,3125,3030,103.1,309,246,1163,1168
0500000US19079,19079,"Hamilton County, Iowa",7792,7881,98.9,9069,4633,4436,104.4,542,478,1825,1731
0500000US19081,19081,"Hancock County, Iowa",5656,5685,99.5,6517,3355,3162,106.1,332,331,1226,1147
0500000US19083,19083,"Hardin County, Iowa",8717,8817,98.9,9811,5077,4734,107.2,824,603,1832,1718
0500000US19085,19085,"Harrison County, Iowa",7348,7580,96.9,8674,4396,4278,102.8,515,470,1644,1624
0500000US19087,19087,"Henry County, Iowa",10310,9835,104.8,12248,6478,5770,112.3,968,812,2623,2266
0500000US19089,19089,"Howard County, Iowa",4746,4820,98.5,5307,2712,2595,104.5,298,324,1067,1010
0500000US19091,19091,"Humboldt County, Iowa",4847,4968,97.6,5536,2814,2722,103.4,352,345,1064,970
